kaynak,question,answer,sayfa
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Şoktaki bir yaralıya kanama kontrolü sonrası hangi sıvıyı, ne kadar vermeliyim?","Tam kan, dondurulmuş plazma veya 500 ml Hextend bolus ile resüsitasyona başlayın. 30 dakika sonra klinik iyileşme yetersizse ikinci bir 500 ml Hextend uygulayın (maksimum 1.000 ml).",86
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Askerin gözünde delici bir şarapnel yarası var, nasıl kapatmalı ve hangi ilacı vermeliyim?","Gözü sert bir göz koruyucusuyla kapatın, kesinlikle basınç uygulamayın. Yaralı yutabiliyorsa muharebe hap paketinden 400 mg moksifloksasin verin.",87-88
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Arkadaşımın göğsünde açık/emici bir mermi yarası var, neyle kapatmalıyım?","Derhal defekti kapatmak için havalandırmalı bir göğüs kapaması uygulayın. Eğer yoksa, havalandırmasız bir kapama (veya plastik ambalaj) kullanın.",85
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Göğsünden vurulan yaralıda tansiyon pnömotoraks başladı, iğne dekompresyonunu tam olarak nereye yapmalıyım?","14 gauge iğneyi, etkilenen tarafta üçüncü kaburganın üst sınırından, orta klaviküler hatta (yaklaşık meme ucu hizası) veya alternatif olarak ön aksiller hattın dördüncü/beşinci kaburga boşluğuna 90 derecelik açıyla yerleştirin.",85
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Turnikeyi yaranın ne kadar yukarısına takmalıyım ve üzerine ne not düşmeliyim?,Turnikeyi yaranın 5-7.5 cm (2 inç) üzerine uygulayın. Üzerine silinmez bir kalemle turnikenin takıldığı zamanı açıkça yazın.,84
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Yaralının bacağı koptu, şoku yok ama çok acı çekiyor. Pastil formundaki fentanili (OTFC) nasıl vermeliyim?",800 mikrogram (mcg) oral transmukozal fentanil pastili yaralının işaret parmağına bantlayıp ağzına yönlendirin. Isırmamasını ve yutmamasını söyleyin.,87/111
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Yaralı şokta ve inanılmaz bir ağrısı var, fentanil veremiyorum. Hangi ağrı kesiciyi ne dozda kullanmalıyım?",Her 30 dakikada bir 50 mg ketamin IM (kas içi) / IN (burun içi) verin veya yavaşça IV/IO ile 20 mg ketamin verin. Gerekirse dozları 20 dakikada bir tekrarlayın.,87
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Kasık bölgesinden veya boyundan kanama var, turnike takamıyorum. Kanamayı neyle ve nasıl durdurmalıyım?","Turnike kullanımı için uygun olmayan kanamalarda Combat Gauze, Celox Gauze veya ChitoGauze gibi TCCC onaylı hemostatik bir pansumanı yaranın içine doldurun ve en az 3 dakika doğrudan bası uygulayın.",84
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Yaralının bilinci kapalı ama kendiliğinden nefes alıyor. Boğulmaması için havayolunu nasıl açık tutmalıyım?,"Çene kaldırma / çene itme manevrası yapın, nazofaringeal havayolu (NPA) takın ve hava yolunu korumak için yaralıyı yan çevirerek kurtarma pozisyonuna getirin.",84-85
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"NPA (burun tüpü) takarken tüp gitmiyor, dirençle karşılaştım. Güç uygulayıp itmeli miyim?",Asla zorlamayın. Dirençle karşılaşılırsa tüpü dışarı çekin ve diğer burun deliğine deneyin.,9
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,Kafa travması geçiren birinde kulağından/burnundan sıvı (BOS) geliyorsa burun tüpü (NPA) takabilir miyim?,"Hayır, kesinlikle takılmamalıdır. Bu sıvı bir kafatası kırığına işaret edebilir.",8
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Kafasından vurulan birine oksijen veriyorum, kandaki oksijen (SPO2) değerini yüzde kaçta tutmalıyım?",Oksijenasyon oranını %90'ın üzerinde tutmalısınız.,90
taktik_muharebe_yarali_bakimi_el_kitabi.pdf,"Sahada tansiyon aletim yok, sadece nabzına ve bilincine bakarak yaralının şoka girdiğini nasıl anlarım?",Kafa travmasına veya ilaca bağlı olmayan 'değişmiş/bozulmuş bilinç durumu' veya 'anormal radiyal (bilekten alınan) nabız' şok belirtisidir.,86
